autor,dt_postagem,link,site,tags,texto,titulo
Ricardo Meier,05/05/2021,https://www.motoo.com.br/e01-scooter-eletrica-da-yamaha-esta-perto-de-ser-produzida/,motoo,"Yamaha,E01,scooter elétrica","A Yamaha está próxima de lançar uma nova scooter elétrica. O modelo em questão já é conhecido: trata-se da E01, um conceito mostrado no Salão de Tóquio de 2019, mas que pareceu à época despretensioso.No entanto, era só uma “camuflagem” da marca japonesa, que já pensava numa versão de produção, segundo patentes publicadas recentemente no país e que usam desenhos produzidos no final de 2019.A E01 também apareceu registrada no órgão de patentes europeu no começo deste ano, juntamente com outros modelos elétricos, reforçando a aposta num lançamento em breve, possivelmente entre o final de 2021 e o começo de 2022.A E01 de produção é bastante parecida com o conceito (veja galeria), mas conta com elementos mais comuns já que o protótipo era dominado por soluções estéticas como um tecido que ocupava o assento e ia até o protetor dianteiro.Posição da bateria da scooter E01 (item 28)Imagem: ReproduçãoA scooter elétrica deve contar com um motor de cerca de 15 cv, ou seja, potência equivalente a um propulsor a combustão de 125cc. O conjunto de bateria é posicionado entre os eixos da moto, o que se reflete num compartimento para bagagens pequeno.A recarga da E01 será feita por uma tomada na parte frontal da moto, o que também significa que a scooter não fará parte do sistema comum de baterias substituíveis que a Yamaha estuda juntamente com a Honda, Suzuki e Kawasaki. Ao menos por enquanto.Ainda é cedo para cravar uma data para a chegada da E01 ao mercado global, mas certamente ele não voltará ao palco onde foi revelado já que o Salão de Tóquio deste ano foi cancelado.","E01, scooter elétrica da Yamaha, está perto de ser produzida"
Ricardo Meier,27/04/2021,https://www.motoo.com.br/suzuki-confirma-lancamento-da-nova-gsx-s1000-no-brasil/,motoo,"Suzuki,GSX-S1000,naked","A representante da Suzuki no Brasil, a J.Toledo, não demorou a confirmar que a nova GSX-S1000 será vendida no país. Nem bem a moto atualizada foi apresentada no exterior e o site da marca já traz um vídeo e os dizeres ""em breve no Brasil"".Como o MOTOO mostrou nesta segunda-feira em primeira mão no Brasil, a nova naked recebeu importantes aprimoramentos na linha 2021. Entre eles estão o motor de 152 cv que atender as normas de emissões Euro 5, novo sistema de iluminação em LED, visual mais esportivo e equipamentos mais modernos.As mudanças incluem um novo eixo de comando de admissão e escapamento, novas molas de válvula, nova embreagem e escapamento. Graças a isso, a moto oferece maior capacidade de controle e desempenho ao evitar que a roda traseira trave ou salte e fornece desaceleração mais suave, permitindo ao piloto reduzir a marcha com mais confiança e manter melhor controle ao reduzir para as curvas.Na Inglaterra, a nova GSX-S1000 começará a ser vendido do final de junho por quase 11 mil libras, algo como R$ 84 mil - a atual versão comercializada no Brasil sai por R$ 62.839 à vista, segundo o site da marca.No ranking nacional, a GSX-S1000 é a terceira moto em vendas com motor de 1.000 cc, atrás da Honda CB 1000R (172 emplacamentos no primeiro trimestre) e da Kawasaki Z1000 (105 unidades).Até março, a atual naked da Suzuki acumulava 50 unidades emplacadas, mas esse total deve crescer bastante quando a nova GSX-S1000 desembarcar no Brasil.Suzuki GSX-S1000 2021Imagem: Divulgação",Suzuki confirma lançamento da nova GSX-S1000 no Brasil
Ricardo Meier,04/05/2021,https://www.motoo.com.br/o-que-os-ingleses-acharam-da-nova-suzuki-hayabusa/,motoo,"Suzuki,Hayabusa,GSX-R1300,esportiva","A Hayabusa finalmente ganhou a terceira geração após 14 anos. E a Suzuki resolveu manter o motor 1.340cc de 4 cilindros em vez de partir para uma solução ousada, tudo para preservar a tradição da moto que já foi desejo de muita gente desde que surgiu em 1999.Lançada no final de março, a GSX-R1300 foi avaliada por jornalistas de várias partes do mundo onde o modelo já está à venda, inclusive no Reino Unido. Mas afinal o que os britânicos acharam da nova Hayabusa?Vale dizer que a segunda geração da moto estava ausente da Europa por conta da legislação ambiental. Por isso, a terceira geração teve o mérito de reintroduzi-la no mercado após vários anos de expectativa.Como em outros países, os jornalistas ingleses também tinham a expectativa de ver uma nova Hayabusa com algum tipo de motor turbo, mas se decepcionaram em saber que a Suzuki preferiu apenas atualizar o propulsor de 4 cilindros e que de quebra perdeu potência – e 196 cv para 190 cv.Veja galeria de imagens da nova Suzuki HayabusaMas essa má impressão se desfez assim que puderam andar com a moto, cujo torque está mais presente em baixas rotações a ponto de um dos jornalistas achar o desempenho parecido com um motor turbo.Houve uma surpresa inicial com o estilo da moto, ainda lembrando a antiga geração, mas entendeu-se que o objetivo da Hayabusa não é emular uma esportiva, hoje em dia com cilindradas elevadas e desempenho realmente impressionante.A Suzuki, ao contrário, é uma assinatura de estilo que não pode ser adulterada, a despeito dos escapamentos considerados horríveis por conta das adaptações para atender a Euro 5.Suzuki Hayabusa 2022Imagem: DivulgaçãoEletrônica de bordoOu seja, apesar dos números da nova Hayabusa não serem tão superlativos, a leitura foi que a motocicleta está mais divertida de pilotar apesar do tamanho. Houve elogios para a posição do assento, com 800 mm de altura e para a suavidade das trocas de marchas.A eletrônica de bordo também foi elogiada, embora o painel tenha apenas um pequeno mostrador digital colorido em meio a outros analógicos. A GSX-R1300 trouxe consigo um assistente de partida em rampa, considerado muito útil, e modos de pilotagem bastante práticos e de acionamento suave.Há outros adendos esperados como iluminação em LED, controle de cruzeiro, ABS com acionamento em curvas. Os freios com pinças Brembo mostraram enorme capacidade de segurar o ímpeto da moto de 264 kg.Em comum, a mídia inglesa considerou a nova Hayabusa uma moto de espírito único e que ainda tem um papel relevante no mercado de alta cilindrada, a despeito de hoje não ter mais o impacto de duas décadas atrás. Agora resta esperar que a Suzuki traga logo a nova geração ao Brasil.",O que os ingleses acharam da nova Suzuki Hayabusa?
Ricardo Meier,03/05/2021,https://www.motoo.com.br/depois-da-europa-nova-x-adv-chega-a-asia/,motoo,"Honda,X-ADV,scooter","A pioneira scooter aventureira da Honda, a X-ADV, ganhou melhorias significativas na Europa no final de 2020 e que agora chegaram também ao mercado asiático, no caso a Malásia.Lançada como conceito em 2016, a X-ADV estreou com um motor bicilíndrico de 745 cc e câmbio de dupla embreagem. No Brasil, o modelo desembarcou em novembro de 2017 com preço de R$ 52.500,00 na época (atualmente R$ 71,4 mil).O modelo, no entanto, trazia painel digital monocromático, algo que a versão europeia (e agora malaia) aboliram em favor de um mostrador TFT LCD colorido de 5 polegadas.A X-ADV atualizada também conta com novas carenagens, para-brisa menor e iluminação diurna em LED mais atraente. Já o espaço sob o assento ganhou mais volume, passando a oferece 22 litros e capacidade para armazenar um capacete.Veja mais fotos da nova X-ADVA versão da Malásia perdeu peso (3 kg) e o desempenho do motor (que atende a Euro 5) passou a oferecer 58,6 cv a 6.750 rpm e torque de 7,03 kgfm a 4.750 rpm. Como comparação, a X-ADV brasileira possui 54,8 cv a 6.250 rpm e 6,93 kgf.m a 4.750 rpm, respectivamente.O painel colorido da X-ADV estrangeira comparado ao modelo nacionalImagem: DivulgaçãoNa parte eletrônica, a scooter também evoluiu, passando a contar com quatro modos de pilotagem disponíveis - Standard, Sport, Chuva e Cascalho - além de um quinto modo personalizável pelo usuário. Já o Controle de Torque Selecionável Honda (HSTC) oferece três opções em vez de duas como na brasileira.Além disso, a X-ADV trocou uma tomada de 12V no protetor por um porta-luvas de 1.2 litro com tomada USB. Por aqui, a Honda ainda não anunciou qualquer mudança na linha X-ADV. Até abril, a scooter havia emplacado 75 unidades.","Depois da Europa, nova X-ADV chega à Ásia"
Ricardo Meier,27/04/2021,https://www.motoo.com.br/royal-enfield-meteor-350-vendeu-mais-de-10-mil-unidades-em-marco/,motoo,"Royal Enfield,Meteor 350,cruiser,vendas na Índia","A Meteor 350 tem demonstrado um potencial de vendas imenso até aqui. A nova moto estilo “cruiser” da Royal Enfield estreou na Índia em outubro do ano passado com uma procura bastante grande.Mas foi no mês passado que a Meteor 350 deu enorme salto nos emplacamentos, chegando a vender 10.596 unidades, o que fez a moto superar a Honda CB 350 pela primeira vez, segundo a mídia do país.Ela já é a segunda moto mais vendida da marca, atrás apenas da Classic, mas tudo leva a crer que a distância entre as duas irá cair nos próximos meses, a despeito de a Índia passar por problemas graves com a pandemia.Veja galeria de fotos da Royal Enfield Meteor 350A Meteor 350 é vendida por lá em três versões - Fireball, Stellar e Supernova - e substituiu os modelos Thunderbird e Thunderbird X.O mercado de motocicletas indiano é o maior do mundo, como se sabe, mas para se ter uma ideia desse volume, basta dizer que a Meteor seria vice-líder no Brasil se vendesse em média 10 mil unidades por mês, ficando atrás apenas da CG 160.Royal Enfield Meteor 350 2021Imagem: DivulgaçãoA moto da Royal Enfield é equipada com novo motor monocilíndrico com injeção de gasolina e 349 cc. O propulsor entrega 20,2 cv a 6.100 rpm e 27 Nm a 4.000 rpm de torque. A Meteor 350 utiliza uma caixa de câmbio de 5 marchas.A Meteor 350 já foi flagrada no Brasil, mas a fabricante ainda não revelou quando o modelo será lançado em nosso mercado.",Royal Enfield Meteor 350 vendeu mais de 10 mil unidades em março
Ricardo Meier,26/04/2021,https://www.motoo.com.br/honda-lancara-tres-motos-eletricas-ate-2024/,motoo,"Honda,motos elétricas,Mobile Power Pack","A Honda apresentou nesta semana seu compromisso em transformar sua linha de veículos em produtos sustentáveis e que deverão tornar a emissão de carbono neutra até 2050. Na divisão de motocicletas, os planos são bastante ambiciosos e envolvem um enorme investimento na propulsão 100% elétrica.A primeira fase do processo de eletrificação começa com a linha de modelos GYRO, GYRO Canopy e BENLY, veículos de duas e três rodas de aplicação comercial, mas que será estendido para motos de uso pessoal com potência equivalente a modelso de baixa cilindrada.A Honda afirma que até 2024 deverá lançar três modelos EV (veículo elétrico) no mercado, duas scooters com motorização similar a 50cc e 125cc e uma moto street de 125cc.Além disso, a marca japonesa revelou que introduzirá produtos ""Fun"", com maior potência e desempenho, mas não precisou uma data para isso ocorrer.Os planos de eletrificação das motos da Honda: três modelos até 2024Imagem: DivulgaçãoBaterias intercambiáveisA base para o plano de eletrificação da Honda está na tecnologia Mobile Power Pack, uma rede de trocas de baterias intercambiáveis que pretende facilitar a recarga de seus modelos. É algo semelhante ao que as empresas Hero e Gogoro anunciaram na semana passada.A diferença é que a Honda se juntou a outras marcas japonesas para criar baterias que utilizam o mesmo padrão a fim de reduzir custos e universalizar seu uso. A ideia é que essas estações também atendam outros tipos de veículos como aparelhos de função utilitária e bicicletas, por exemplo.Além da iniciativa de eletrificação, a Honda pretende estender o sistema ADAS (de assistente de direção avançado) em todos os seus veículos com o objetivo de zerar os acidentes de trânsito até 2050. A marca inclusive ressalta a preocupação com países em desenvolvimento como o Brasil como o maior desafio à meta.",Honda lançará três motos elétricas até 2024
Ricardo Meier,04/05/2021,https://www.motoo.com.br/o-que-aconteceu-com-a-marca-de-motos-eletricas-zero-no-brasil/,motoo,"Zero,Motos elétricas,SR/F,SR/S","Não se fala de outra coisa no mundo das motocicletas nos últimos tempos: eletrificação. Sejam iniciativas locais ou de marcas consagradas como a Honda, a moto elétrica passou a ser um objetivo comum no mercado, diante das restrições ambientais impostas por vários países.A despeito da relutância dos mais conservadores, é fato que as motos com motor elétrico podem proporcionar bastante diversão além de consciência ecológica mundo afora. Por conta disso, será comum ver portfólios bastante variados num futuro breve, mas nem precisamos esperar para ver isso acontecer.Basta olhar para a curta mas agitada história da Zero Motorcycles, uma marca norte-americana fundada por um ex-engenheiro da Nasa, Neal Saiki, em 2006.No mercado desde 2010, a Zero já produziu vários modelos elétricos bastante atraentes e atualmente oferece uma linha de encher os olhos até de quem não curte o silêncio dos motores movidos a bateria.Veja galeria de imagens com as motos elétricas da ZeroA Zero tem em seu portfólio motos como a urbana Zero S, a motocross Zero FX, a trail DSR e as novatas SR/S (a primeira carenada da marca) e naked SR/F.As duas estrearam no final do ano passado com motor de 82 kW e velocidade máxima de 200 km/h. Como se fosse um gadget sobre duas rodas, as novas motos utilizam um sistema operacional atualizado, o Cypher III, a versão mais recente oferecida.A SR/S possui um alcance 13% maior que o da SR/F por conta da carenagem, que melhorou sua aerodinâmica e reduziu o consumo de energia.Zero SR/SImagem: DivulgaçãoNos EUA, a linha de motos elétricas começa em US$ 11 mil (Zero S) e chega a US$ 21.495 no caso da SR/F. Numa conversão direta, são preços entre R$ 60 mil e R$ 117 mil, claro, sem contar impostos.Passagem sem brilho pelo BrasilMas a grande pergunta a respeito da Zero é saber por que ela não está em nosso país. Para quem esteve distante do mercado de motos ou chegou há pouco tempo nesse meio, a surpresa é que a Zero já foi vendida no Brasil e logo no início da carreira da marca.Já em 2009 o grupo Izzo, que representava na época diversas marcas, apresentou os modelos DS, S, MX e X, da estreante montadora. As vendas começaram em 2010, mas no ano seguinte a iniciativa foi encerrada. Em 2012, o grupo acabou fechando e desde então a Zero permanece oficialmente distante do nosso país.TTalvez a marca, que já lidava com baterias de lítio quando isso era novidade nos smartphones da Apple, tenha chegado cedo ao Brasil, mas resta torcer para que a nova onda elétrica volte a motivá-la a ver nosso mercado como um dos mais promissores do mundo.",O que aconteceu com a marca de motos elétricas Zero no Brasil?
Ricardo Meier,28/04/2021,https://www.motoo.com.br/husqvarna-mostra-sua-primeira-moto-eletrica/,motoo,"Husqvarna,E-Pilen,moto elétrica","A fabricante europeia de motos Husqvarna revelou nesta semana seu primeiro conceito totalmente elétrico, a E-Pilen. Com ares inspirados nas conhecidas Vitpilen e Svartpilen, a nova moto 100% elétrica possui características de uma naked urbana e é considerada a visão da marca para o futuro da mobilidade.A E-Pilen havia sido parcialmente revelada em dezembro quando o CEO da marca concedeu entrevista e revelou que a moto seria desenvolvida em parceria com a KTM, com produção na Índia pela Bajaj.A Husqvarna não forneceu muitos detalhes da E-Pilen, mas adiantou que seu motor elétrico possui 8 kW de potência, cerca de 11 cv, e sua bateria modular permite uma autonomia de até 100 km.Apesar disso, a marca diz que a E-Pilen possui uma arquitetura aberta que permite o uso também de baterias fixas recarregáveis.Veja galeria de imagens da Husqvarna E-Pilen“Sempre foi o objetivo da Husqvarna Motorcycles desenvolver novos produtos acessíveis ao mais amplo espectro de pilotos possível. A gama E-Mobility irá preservar o prazer de condução e a dinâmica refinados através da longa história e experiência da marca. Em apoio à iniciativa de mobilidade elétrica, a Husqvarna Motorcycles expandirá estrategicamente sua presença em áreas urbanas e metropolitanas”, afirmou a marca.A E-Pilen fará parte de uma linha de motocicletas elétricas que está num estágio avançado de desenvolvimento, garante a Husqvarna, que prometeu mais novidades em breve. A primeira elétrica da marca é esperada pra 2022.",Husqvarna mostra sua primeira moto elétrica
Thiago Moreno,23/04/2021,https://www.motoo.com.br/cfmoto-800mt-conheca-a-primeira-big-trail-chinesa/,motoo,"CFMoto,800MT,China","O segmento das grandes motos aventureiras vem crescendo nos últimos anos globalmente. Antes lugar cativo das montadoras europeias e japonesas, viu a Harley-Davidson apresentar a Pan America para acirrar a disputa. No entanto, as fabricantes chinesas já começaram a explorar esse filão de mercado também.A CFMoto apresentou no Salão de Xangai, na China, a 800MT, a primeira big trail de verdade a sair daquele país. Para isso, a montadora asiática fez proveito de uma parceria de anos com a austríaca KTM para criar e desenvolver a moto. Isso inclui o uso da mesma empresa de design para o visual e o compartilhamento de componentes mecânicos.A CFMoto 800MT é equipada com o motor LC8 da KTM, o mesmo empregado na 790 Adventure. Ele manteve a arquitetura de dois cilindros paralelos com refrigeração a líquido. A marca declarou 95 cv de potência para a moto, enquanto o torque é de 7,9 kgfm. Os componentes da injeção eletrônica são fornecidos pela Bosch.A 800MT também traz um bom nível de tecnologia embarcada, já contando com quickshifter bidirectional para o câmbio, que elimina a necessidade do uso de embreagem nas trocas de marcha, e um vistoso painel de instrumentos digital com tela colorida. A novidade da CFMoto será oferecida em duas versões: uma com rodas de liga leve e uso mais voltado para o asfalto, e a outra mais aventureira, com rodas raiadas.CFMoto 800MTImagem: Divulgação",CFMoto 800MT: conheça a primeira big trail chinesa
Ricardo Meier,28/04/2021,https://www.motoo.com.br/escassez-de-componentes-faz-yamaha-interromper-producao-de-motos-em-manaus/,motoo,"Yamaha,produção,fábrica em Manaus,componentes","A Yamaha anunciou nesta terça-feira, 27, que irá suspender a produção de parte de suas motos em Manaus entre os dias 3 e 12 de maio. A medida foi causada pela escassez de componentes, um problema que até então atingia as montadoras de automóveis no Brasil.A marca japonesa, no entanto, não esclareceu quais modelos serão afetados pela interrupção. Nesse período, seus funcionários no Amazonas receberão férias coletivas. Já as equipes que montam motores de popa e o pessoal administrativo seguirá trabalhando normalmente.Sua rival, a Honda, também havia interrompido a produção de motos em janeiro, porém, o motivo na época foi o crescimento dos casos de Covid-19 no estado. Desta vez, no entanto, os problemas causados na cadeia de suprimentos e que tem obrigado muitas empresas a pararem a produção, sobretudo pelo desabastecimento mundial de chips, chegou também ao mercado de motocicletas.Veja o comunicado oficial da Yamaha:Considerando a situação adversa na cadeia de suprimentos decorrente da crise de abastecimento causada pelos efeitos da pandemia do Coronavírus, e visando ajustar o fluxo do recebimento de insumos, a Yamaha suspenderá as atividades em algumas de suas linhas de produção de motocicletas, no período de 03 a 12 de maio.Nas linhas afetadas, os colaboradores estarão em férias coletivas.A produção de motores de popa, bem como as demais atividades operacionais da Yamaha Motor da Amazônia, Yamaha Motor Componentes da Amazônia e da Yamaha Logística permanecerão em plena atividade durante esse período.",Escassez de componentes faz Yamaha interromper produção de motos em Manaus
