autor,dt_postagem,link,site,texto,titulo
Roberto Dutra,01/04/2021,https://mototour.com.br/news/gaiamx-apresenta-pilotos-que-disputarao-titulos-no-motociclismo-off-road-em-2021,mototour,"O Team GaiaMX se prepara para entrar nas competições de 2021. A equipe vai participar nas categorias Enduro, Motocross, MTB Downhill, Rally e FMX. Mesmo diante de um cenário ainda incerto por conta da pandemia de Covid-19, os treinos seguem puxados. Um dos pilotos é André Rezende, de 26 anos, piloto oficial da MXF, que há dois anos representa a GaiaMX e que, neste ano, subiu para a categoria Elite. Ele está confiante e espera resultados positivos. Em 2020, Rezende venceu o Campeonato Mineiro e a Copa Estrada Real, além de ter ficado com a terceira colocação na Copa Sul Mineira e na vice-liderança do Enduro da Independência também. - A expectativa é muito boa. Esperamos ter bons resultados como na temporada passada - afirma Rezende. Já o piloto Markolf Berchtold brigará na categoria Downhill. Ele é da cidade de Schroeder (SC), onde treina, octacampeão pan-americano e pai de Zion Berchtold, que segue o caminho do pai e já é campeão brasileiro de motocross na categoria 50cc. Este ano, Zion vai disputar todas as etapas do motocross catarinense e também o Mundial na Flórida.- Treinar no meio da pandemia é complicado, mas temos a sorte de viver numa cidade pequena e com muitas áreas boas e ao ar livre para treinar - diz Markolf. Eduardo Ferreira de Lima (ou simplesmente Dudu Lima), por sua vez, diz que a cada dia se sente melhor com foco e motivado. O piloto vai participar, este ano, da categoria MX1. - Estou treinando com cautela para não me machucar. O momento da pandemia está sendo difícil para todos, mas este é meu trabalho e não posso ficar sem treino - explica ele.Outro piloto da equipe Team GaiaMX é Renato Paz, que segue nos treimnos a todo vapor, mas também tomando os cuidados possíveis. Em 2021, o piloto disputa na categoria MX2 os campeonatos Brasileiro de Arena Cross e Brasileiro de Motocross.- Atualmente estou treinando mais meu físico do que com a moto - conta ele. Nome de destaque da equipe, Bissinho Zavatti se prepara para a etapa do Campeonato Brasileiro de Rally Cross Country e do famoso Rally dos Sertões. O piloto vinha disputando na Categoria Brasil, mas subiu e alcançou a Moto 2.- Esse momento da pandemia nos limita em algumas situações. Estamos adaptando nossos treinos - comenta Bissinho.Por fim, o piloto Tatá Mello, que está há oito anos no time, atua na categoria Freestyle Motocross.De olho na pista!Além de produzir modelos para todas as modalidades do off-road desde 2012, a GaiaMX também apoia e mantém esse time de pilotos, além de  vender no mercado nacional uma linha de óculos off-road exclusiva, feita para pilotos. Os produtos atendem aos padrões internacionais de segurança. Mais informações no site www.gaiamx.com.br",GaiaMX apresenta pilotos que disputarão títulos no motociclismo off-road em 2021
Roberto Dutra,01/03/2021,https://mototour.com.br/news/ktm-1290-super-adventure-2021-ganha-versao-r,mototour,"A KTM 1.290 Super Adventure 2021 acaba de ganhar uma segunda versão. É a ""R"", que vai se juntar à ""S"" no topo da linha de modelos big trail adventure da marca austríaca. Assim como a ""S"", lançada em janeiro, a ""R"" tem aprimoramentos em relação ao modelo do ano anterior. Mas a ""R"" tem ainda mais aptidões para o uso no off-road. Por exemplo, o  tanque de combustível para 23 litros fica em posição mais baixa  e o guidom foi recuado em 1,5mm. Com essas alterações, obteve-se uma distribuição de pesos e massas diferente, com um centro de gravidade mais baixo. Para completar, o motor foi reposicionado e ficou 1,6 kg mais leve. Mas é o mesmo da outra versão: o L2 com 1.301cm³, 160cv de potência a 9.000rpm e 14 kgfm de torque a 6.500 rpm. E é o mesmo do ano anterior, mas com algumas mudanças para se adequar à norma de emissões Euro 5: o fluxo dos gases e a dissipação de calor foram melhorados e há uma nova caixa de ar, dois radiadores em vez de um, novos pistões e um sistema de escape duplo redimensionado. Além disso, o trambulador da transmissão foi redesenhado para permitir trocas de marchas mais rápidas e precisas. As suspensões também mudaram e agora são da WP americana. Na frente, os garfos são reguláveis e têm 22 cm de curso. Na traseira, o monochoque tem o mesmo curso,  mas a balança ficou mais comprida. Já o subchassi foi redesenhado e ganhou, ali em cima, um banco remodelado. Por fim, o vão livre de excelentes 24,2cm, o peso de 221 quilos a seco e as rodas desta versão R - raiadas, com leves aros de alumínio e que podem ser usadas sem câmaras, e com 21 polegadas na frente e 18 atrás - reforçam as aptidões off-road da KTM 1.290 Super AdventureNa parte eletrônica, a moto tem novo sensor de inclinação de seis eixos, que lhe dá uma sintonia mais fina nas respostas aos controles eletrônicos de tração, de estabilidade, do ABS off-road  e das respostas a cada um dos cinco modos de condução (rain, street, sport, off-road e rally). As vendas na Europa da KTM 1.290 Super Adventure R começam em março. Não há previsão de chegada no Brasil. Enquanto isso, curta abaixo mais imagens da moto e um vídeo de tira o fôlego!https://www.youtube.com/embed/SI_B8fxPWEs&feature=emb_logo",KTM 1.290 Super Adventure 2021 ganha versão R
Roberto Dutra,28/01/2021,https://mototour.com.br/news/kawasaki-lanca-a-nova-geracao-da-klr-650-nos-eua,mototour,"Atenção, proprietários da Kawasaki Versys X-300 e fãs, em geral, de motocicletas trail sem frescuras! A Kawasaki acaba de mostrar, nos Estados Unidos, a nova geração da KLR 650. Embora a antecessora (que saiu de linha em 2018) nunca tenha sido vendida no Brasil, sem dúvidas remos aqui muitos admiradores dessa moto, que a exemplo de rivais como a Suzuki DR 650 e a Honda XR 650, são motos trail para quem gosta de se sujar de lama, mas sem abrir mão de passeios no asfalto. A KLR 650 é como os puristas gostam: bruta e simples. Mesmo nessa nova geração, que obviamente sofreu lá suas necessárias modernizações, ainda segue esse perfil. O conjunto apresenta um visual imponente, com um farol que até lembra o da naked Z900, mas com carenagens, banco tipo enduro, suspensões altas e motor bem-disposto.Em comparação à antecessora, essa nova KLR 650 2022 tem farol com LEDs, piscas em posição elevada para proteção nas trilhas, guidom mais alto, pedaleiras mais expostas e para-brisa mais alto, entre outras características. Mas até o painel foge de revoluções: em plena era das telinhas de TFT, a KLR Ostenta uma de LCD. No console interno a moto tem entradas 12V e USB e o tanque, com novo desenho, acomoda ótimos 23 litros. O motor é de trail raiz: um monocilíndrico de 652cm³, obviamente injetado. A potência não foi revelada, mas estimamos algo entre os 44 cv da geração anterior e 48 cv. Mas sabemos que o torque é de com 5,4 kgfm a 4.500rpm. Outras especificações são o câmbio de cinco marchas, as ótimas suspensões com 20cm de curso na frente e 18,5cm atrás, os pneus de uso misto 90/90 R21 na frente e 130/80 R 17 atrás e os freios com ABS de interferência retardada no fora-de-estrada. Lá na Terra do Tio Sam a KLR 650 será vendida em quatro versões: básica, ABS, Traveler (com top case, porta USB e tomada 12V) e Adventure (com malas laterais, faróis auxiliares e protetor de motor). Os preços vão de US$ 6.700 a US$ 7.800 nos EUA (em torno de R$ 36 mil a R$ 43 mil, em conversão direta). Agora, é torcer para a Kawasaki se animar a trazê-la para o Brasil - quem sabe já no Salão Duas Rodas 2021, que acontece entre 16 e 21 novembro em São Paulo. Veja abaixo o vídeo-teaser oficial da KLR 650:",Kawasaki lança a nova geração da KLR 650 nos EUA
Roberto Dutra,10/12/2020,https://mototour.com.br/news/kymco-entra-na-onda-dos-scooters-aventureiros,mototour,"Que tal viajar de scooter? Hoje em dia já tem muita gente que faz isso. Se for um modelo que permita uns rolés por estradinhas de terra batida, melhor ainda! Por isso a Kymco entrou na onda da Honda e também criou seu próprio scooter com pegada ""aventureira"". Se a japonesa inventou a moda com o X-ADV 750, em 2017, a taiwanesa chega com o DT X360, que tem design esportivo, pintura bicolor e aquele ""bico"" típico das motos big trail ou ditas ""aventureiras"". A proposta é um scooter para uso urbano, mas que também permita uns passeios mais longos, inclusive por estradinhas menos convidativas. Para tanto, o DT X360 tem altura em relação ao solo maior que a da maioria dos scooters, guidom largo e pneus de uso misto (120/80 R14 na frente e 150/70 R13 atrás). Mas lhe faltam suspensões de curso realmete longo - tradicional limitação dos scooters.Como todo modelo da marca asiática, o FDT é bem recheado. Tem partida sem chave, controle de tração, painel em LCD, iluminação full-LED e espaço sob o banco para dois capacetes fechados.O motor é um monocilíndrico de 320,6cm³ com refrigeração líquida, que rende 28,4cv de potência e 3,1kgfm de torque. O câmbio, claro, é CVT, e o tanque leva razoáveis 12,5 litros. É pesadinho: são 194 quilos. Mas tem freios a disco nas duas rodas. Por enquanto não há planos para esse scooter bem-disposto rodar no Brasil. Mas nada é impossível: recentemente a Kymco lançou aqui o ""scooterzão"" de luxo AK550i e, além dele, tem no lineup os modelos Downtown 300i, a People GTi 300 e Agility 16+ 200i.Confira abaixo mais fotos do DT X360 e um vídeo-teaser bem divertido!","Kymco entra na onda dos scooters ""aventureiros"""
Roberto Dutra,09/11/2020,https://mototour.com.br/news/honda-lancara-mais-um-scooter-no-fim-do-mes,mototour,"O segmento de scooters não para de crescer no país. Nos últimos anos, mesmo quando o mercado de duas rodas, no geral, encolheu, as vendas de scooters jamais pararam de crescer. Não por acaso a Honda vai lançar mais um: o ADV 150.O modelo chegará sob o marketing de ""scooter aventureiro"" , por herdar características visuais do irmão maior X-ADV, que já é vendido no país. Mas enquanto o grandão tem mesmo aptidões off-road, o pequeno não tem nada de aventureiro: é apenas mais um modelinho urbano, com no máximo alguns detalhes mais ""radicais"".A mecânica, por exemplo, é a mesma do PCX 150, que já é vendido no país. Então teremos o mesmo motor monocilíndrico de 150cm³ injetado e refrigerado a água. No PCX, são 13,2cv e 1,3kgfm de torque. No ADV, pode haver diferença por recalibragem - nos países onde já é vendido, o ADV 150 tem 14,3cv e 1,4kgfm, respectivamente. O ADV 150 é mais pesado que o PCX: 134 kg contra 126 kg do PCX (a seco). Então o desempenho seá virtualmente o mesmo. Mas o ADV tem diferenças relevantes em relação ao PCX: as suspensões têm curso mais longo (atrás, são a gás) e os pneus são de uso misto. Além do visual mais invocado, é o máximo de ""aventura"" que vemos aqui.O ADV 150, contudo, tem aspectos interessantes. A distância livre do solo é de 16,5cm, contra 13,7cm no PCX 150, o painel digital é mais moderno e fica em posição elevada e há um para-brisa com ajuste manual de altura. Podemos esperar no novo modelo um recheio similar ao do ADV 150, o que inclui sistema start/stop, partida sem chave e tomada 12 volts. Nos países asiáticos  onde já existe, o ADV 150 tem rodas de 14 polegadas na frente (110/80) e de 13 polegadas atrás (130/70), e freios combinados (CBS) ou com ABS, com discos nas duas rodas. O tanque é igual ao do PCX: leva 8 litros.Naturalmente ainda não há informações sobre os preços do ADV no Brasil, mas apostamos em algo entre R$ 16 mil a R$ 18 mil. Assim, ele completaria a ""escadinha"" na atual linha de scooters da Honda no Brasil, que é composta pelos modelos Elite 125 (R$ 9.190), PCX 150 (R$ 14 mil), SH 150i (R$ 13.340), SH 300i (R$ 20 mil) e X-ADV 750 (R$ 70 mil).",Honda lançará mais um scooter no fim do mês
Roberto Dutra,19/10/2020,https://mototour.com.br/news/nova-ninja-zx-10r-chegara-em-novembro,mototour,"A Kawasaki marcou para o próximo dia 23 de novembro o lançamento da Ninja ZX-10R e de sua variação para track days ZX-10RR. Além das duas, deverão ser apresentados simultaneamente mais cinco modelos da linha 2021.Apesar de muitas especulações sobre os outros modelos, não devemos esperar nada absolutamente inédito. Os principais sites do mundo têm falado em uma nova trail KLR para brigar com a Yamaha Ténéré 700, mais modelos com compressor mecânico e até mesmo alguma moto de estilo vintage, mas  segundo o prestigioso portal asphaltandruber.com, nada disso surgirá. De certo, mesmo, sabemos apenas das Ninjas, que virão com motores revisados e mais potentes, mais eletrônica e mudanças aerodinâmicas inclusive com as ""asinhas"" laterais que se tornaram febre entre as superesportivas de rua - e fundamentais para homologação no campeonato de superbikes. Também podemos esperar um novo painel de TFT. O chassi, contudo, não deve mudar. A conferir!",Nova Ninja ZX-10R chegará em novembro
Roberto Dutra,23/09/2020,https://mototour.com.br/news/yamaha-mt-09-tera-motor-maior-e-mais-potente,mototour,"A MT-09 vai ficar mais potente. Documentos registrados pela Yamaha na Alemanha indicam que o motor da moto deve crescer dos atuais 847cm³ para 890cm³. O motivo? O de sempre: emissões de poluentes. É que o atual motor da MT-09 não atende à norma Euro5 e, para que isso aconteça, deve sofrer mudanças que acabam por restringir sua potência. Para que a moto não fique com potência considerada insuficiente ou pouco competitiva, a solução é fazer os aprimoramentos necessários e aumentar a capacidade cúbica. Desta forma, espera-se também que a potência do tricilíndrico suba dos atuais 115cv para cerca de 120cv. Este mesmo motor deve chegar à moto na linha 2021 e, por tabela, ser usado também em uma próxima geração dsa super-touring Tracer 900 GT, que também é vendida no Brasil, e na XSR900, que não é comercializada por aqui.",Yamaha MT-09 terá motor maior e mais potente
Roberto Dutra,01/09/2020,https://mototour.com.br/news/yamaha-mt-03-2021-o-que-era-bom-ficou-melhor,mototour,"A Yamaha acaba de lançar a linha 2021 da naked MT-03 e já aceleramos a pequena fera. É a primeira renovação da moto, que foi lançada no Brasil em 2016 como linha 2017. Não chega a ser uma nova geração, já que chassis e motor não mudaram. Mas há novidades muito interessantes.O visual, por exemplo, mudou um bocado. Agora temos uma frente com aspecto robótico, composta por uma moldura triangular que engloba um pequeno farol redondo na parte de baixo e duas luzes de posição logo acima. O conjunto compõe uma espécie de ""carinha"", que remete a séries e desenhos animados japoneses à moda Jaspion e até mesmo a filmes mais recentes, como os da franquia ""Transformers"".Além disso, o tanque também mudou: embora mantenha a mesma capacidade de antes, de 14 litros, ficou mais largo na parte dianteira e mais estreito na traseira, para proporcionar um encaixe mais justo os joelhos do piloto. Quer mais? O banco ficou mais macio, a iluminação é toda com LEDs (faróis, piscas, luz de freio...) e o belíssimo painel todo digital ganhou shift-light ajustável (aquela luzinha que indica a hora certa de trocar de marcha).Na parte mecânica a principal novidade é a suspensão dianteira invertida, herdada da irmã esportivinha R3. Mas o motor continua sendo o ótimo bicilindrico refrigerado a água com 321cm³, 42 cv de potência a 10.750 rpm e 3kgfm de torque a 9.000 rpm, gerenciado por um câmbio de seis marchas. Os freios têm ABS nas duas rodas.A nova MT-03 2021 chega com preço de R$ 25.490, menos de mil reais acima do valor praticado na linha 2020. E é o mesmo da principal concorrente, a Kawasaki Z400, também bicilíndrica e um pouco mais forte (48 cv e 3,9 kgfm). Na linha Honda quem talvez incomode é a CB 500F, que está em um segmento acima mas tem preço próximo - R$ 27.976. Além disso, é naturalmente mais potente e torcuda, com 50,4 cv e 4,5 kgfm. A diversão é grandeRodamos aproximadamente 170km em nosso test-ride com a MT-03 2021 nos arredores de São Paulo. No trânsito pesado da capital, a moto exibiu boa desenvoltura e ótima capacidade de esterço para se livrar dos carros e saracotear pelos corredores. O motor exibe respostas bem satisfatórias em baixos giros. Na estrada, porém, a MT-03 impressionou mais. Com incrível disposição e ótimas acelerações e retomadas, parece moto de gente grande! Rodamos na faixa dos 100-120km/h em sexta marcha com força ainda sobrando para eventuais ultrapassagens, e raramente foi preciso reduzir marcha. A adoção da suspensão dianteira ""upside down"" trouxe mais firmeza e segurança, com poucas reboladas nas curvas e frenagens sem afundamentos frontais excessivos. Ruídos e vibrações? Discretos.A posição de pilotagem também surpreendeu. Mesmo quem não é muito habituado a pilotar nakeds com pegada esportiva, como este que vos escreve, não tem dificuldades para pilotar a moto nem sofre mesmo em trajetos mais longos. A MT-03 é aquela moto que você parece vestir como uma roupa feita sob medida.  O guidom fica em boa altura, nem à frente nem recuado demais, as pedaleiras são apenas levemente recuadas em relação ao quadril e o novo encaixe dos joelhos é excelente. O banco do piloto é macio - finalmente, dona Yamaha! -, mas uma garupa vai sofrer com seu pequeno espaço e banco fino e estreito. Nada é perfeito...Aliás, nada mesmo: os espelhos proporcionam retrovisão bem limitada. As frenagens foram seguras, porém não impressionantes, mas nas curvas a MT-03 proporcionou muita diversão, permitindo inclinações fortes sem gritar que se está chegando ao limite. Por fim, o painel estilo tablet, além de muito bonito, é completinho e fácil de operar e de visualizar mesmo sob sol forte. Ao fim de nossas andanças anotamos uma média de consumo de 22,5km/l - é uma média bem alta, mas vale destacar que aceleramos forte quase o tempo todo. Sob condução mais leve, o que afinal é a proposta dessa moto, esse consumo vai melhorar bastante. Em resumo, a MT-03 era boa e ficou melhor, reforçando sua posição de excelente opção na faixa intermediária entre as motos pequenas e as médias. Quem pensa em gastar uma boa grana em motos de pegada esportiva maiores, porém bem usadas, deve levar em conta essa MT-03.",Yamaha MT-03 2021: o que era bom ficou melhor!
Roberto Dutra,06/08/2020,https://mototour.com.br/news/nova-honda-cbr-600rr-sera-lancada-no-japao-ainda-este-mes,mototour,"A Honda apresentou as primeiras imagens oficiais da nova CBR 600RR, que será lançada no Japão no próximo dia 21 de agosto. Junto, mostrou também um vídeo de pouco mais de um minuto (que o leitor pode conferir abaixo).Ainda não se vê a nova CBR 600RR em detalhes, pois imagens e vídeo são ""teasers"", e intencionalmente pouco revelam. Mas podemos ver que a moto ganhou um design muito mais agressivo e moderno, claramente inspirado no da irmã maior CBR 1.000 RR-R Fireblade.A aerodinâmica foi claramente aperfeiçoada e podemos esperar mais potência no motor quatro-em-linha e todos os recursos eletrônicos hoje disponíveis nas motos dessa categoria.Como as especificações técnicas ainda não foram reveladas, não é possível afirmar se o chassi mudou ou não (o que determina se é uma nova geração ou apenas aprimoramento da geração anterior). Aguardamos ansiosamente!",Nova Honda CBR 600RR será lançada no Japão ainda este mês
Roberto Dutra,20/07/2020,https://mototour.com.br/news/bmw-mostra-linha-2021-dos-modelos-f-750-gs-f-850-gs-e-f-850-gs-adventure,mototour,"A BMW alemã mostrou a linha 2021 dos modelos F 750 GS, F 850 GS e F 850 GS Adventure. Como ainda não são uma nova geração, as motos ganharam a habitual renovação nos grafismos e alguns recursos a mais. E tem até coisas importantes: passam a ter piscas com LEDs, tomadinha USB ao lado do painel, ABS atuante em curvas e controle de tração.Mais legal ainda é uma nova série especial, batizada de ""40 Years GS Edition"", bolada para comemorar quatro décadas da família GS nas estradas. Os modelos dessa série têm grafismos e pintura nas cores preta e amarela exclusivas.Na mecânica, porém, nada muda. Todas usam o mesmo motor de dois cilindros em linha e 853cm³, mas com especificações um pouco diferentes -  na F 750 GS são 77cv de potência e 8,7kgfm de torque, e nas versões F 850 GS são 80cv de 9kgfm. Estes números são os gerados pelos motores no Brasil, onde as leis de emissões de ruídos são mas severas do que na Europa e, por isso, aqui potências e torques são um pouco menores que os das mesmas mots vendidas na Europa. Pois é, a BMW mostrou as motos, mas não revelou preços nem quando começam a ser vendidas nos países europeus - e muito menos por aqui. Aguardemos. Enquanto isso você vê no vídeo abaixo mais detalhes dos bem-resolvidos modelos da série especial:","BMW mostra linha 2021 dos modelos F 750 GS, F 850 GS e F 850 GS Adventure"
